,Testing Data,Predicted Labels
1068,الهلال يحاول يلحق بالاهلي ,2
1069, مساا الخير ابوخالد تغريداتك عن الاعدامات الي صارت اليوم بالسعوديه تمثلني وتحديدا القذر نمر النمر ,0
1070, الحل لن يكون في الرسوم مسكين من اختزل حلول الاسكان في رسوم_الاراضي_البيضاا ابدا في الادخار لتتملك بيتك واترك تحليلات ,0
1071, لكل هؤلاا الذين ساهمو ودفعو لتفعيل رسوم_الاراضي_البيضاا نقول لهم من القلب شكرا ,1
1072,المفروض من الحين الاداره تطلع بيان وتصعد هالمهزله اللي صايره الى ابعد مستوى من سنتين وكل شيا وااااااااااضح للكل لا يفوز الهلال ,0
1073,الحظ والتحكيم واداا باهت سبب التعادل الفرج دايم يلعب ضد الهلال واخطاا منه كلفت الكثير تعادل بطعم الخساره الهلال_الفتح,0
1074, الهلال_هجر انتوا النجوم السماويه غالين وهلالكم غالي ,1
1075, تخيل اترك الهلال عشان مباراه وحده خسرها ,2
1076,اخواتي الصغار راح يداومون بكرا لان الوزير ما اعلن عن تعليق الدراسه وكفاااااايه شائعات يا ناس تعليق_الدراسه_في_الرياض,2
1077, الهلال_الاهلي قايلكم طرببب ,1
1078, الهلال نادي وجد ليبقى في المنصات نادي عظيم تاريخ مجيد مدرج عريق والكل يشهد,1
1079, الميدا لاعب سيئ جدا حرام يلعب مع الهلال,0
1080, برشلونه_روما ما اقول الا شكرا يا فالديز لما قررت الرحيل عن برشلونه ههههههه,1
1081,مو معقول اني بستنى من الساعه 6 خبر تعليق الدراسه للان قدروا مشاعرنا لو انعمينا من الشاشه السبب منكم تعليق_الدراسه تعليق_الدراسه_في_الرياض,2
1082, الف مبروك يالشقرديه مركز_الرتويت_الهلالي <U+2604> هذا الهلال ياجاهلينه <U+2604> ,1
1083, الاول الفرج الثاني درويش الثالث الزوري الرابع الميدا الخامس جحفلي السادس النصر الهلال_هجر,2
1084, السماح_بالسينما_في_السعوديه حماك الله يا بلادي ,1
1085, يحق لاهل القصيم تسميه هذه السنه بسنه التعليق لكثره ما علقت فيها الدراسه على غرار سنه الهدام تعليق_الدراسه_في_القصيم ا ,2
1086, مباراه مجنونه والحكم ينحر التعاون مااقول غير الله يحنفشك يالحنفوش الظالم الهلال_التعاون,0
1087,لا اجد تفسيرا لخوف اداره التعليم على المعلمين وطلاب الجامعات لا خوف عليهم لا من مطر ولا عواصف مهلا نحن ابناؤكم تعليق_الدراسه_في_القصيم,2
1088,نواف العابد يستاهل حب المراهقات غير شكل المباراه مع الزلزال الهلال,1
1089, كلمه_لشركات_الاتصالات شركات غير وطنيه عروضها خارج المملكه خيااااليه ومناسبه اما داخل حدود الوطن استغلال ونصب بنصب ,0
1090, المحطات حاليا مثل الحلاقين ليله العيد الميزانيه رفع_سعر_الوقود رفع_اسعار_البنزين_والكهرباا ,2
1091, رجع فارس نجد واخيرا افضل مباراه لنصر هذا الموسم على الاطلاق مستوى و نتيجه نستمر على هالمستوى النصر_الاتحاد ,1
1092,طرد غير مستحق للفتح كان ودنا يتعادل الهلال بدون تدخل الحكم والاهم بالنسبه لي ماينفرد الطحلب بالصداره,0
1093, من حرك هجوم الهلال هو ناصر الشمراني يا الموسوس,2
1094, الهلال_هجر اللهم لك الحمد والشكر مبرووووك يازعماا ,1
1095, لمعرفه التكلفه الجديده للبنزين قم بادخال التسعيره السابقه رفع_اسعار_البنزين_والكهرباا ,2
1096,وجع وش ذي الهمجيه ارتفع ريال ريالين وزودتوها رفع_اسعار_البنزين_والكهرباا,0
1097, قاسم_يهاجم_الملك_عبدالله القزم قاسم تدافع عنه الاقزام ويتهمون من دافع عن الملك_عبدالله وقزموا خنيزير الاخوان بانهم فجروا بالخصومه ,0
1098, صورتين دونيس يستعين ب ياسر القحطاني لترجمه كلامه في توجيه الاعبين خالد_المهدرس الهلال_الشباب تصويري ,2
1099, البيان الصحفي لقنصليه المملكه في نيويورك حول طعن_مبتعثه_بامريكا في مدينه هاكنساك بولايه نيوجرسي مبتعث ابتعاث ,2
1100, الهلال_التعاون اتوقع ان الهلاليين الشرفاا لايسمون فوزهم على التعاون اليوم انتصار صراحه مهزله تحكيميه مدرب التعاون قوميز كا ,0
1101, اللهم احفظ ولي امرنا الملك سلمان بن عبدالعزيز بما تحفظ به عبادك الصالحين اللهم عينه على الحق وهيئ له البطانه الصالحه ,1
1102,ركله استهتار يانيمار برشلونه_روما,0
1103, لماذا_يا_خوله_العنزي من يؤيد مرتده عن دينها وعاداتها وتقاليدها فهو مثلها ومثل اللي قابلوها من العهر وقله الاحترام والتبرج والسفور,0
1104, الهلال_التعاون ناصر الشمراني في مثل هذا اليوم احتفل بجائزه افضل لاعب باسيا و ايضا يسجل اليوم ل يحتفل ذهب ,1
1105,صرت اخاف من يوم الجمعه والسبب داعش ,2
1106, اليوم النصر العالمي يالله تحفظه النصر_الاتحاد دوري_عبداللطيف_جميل ,1
1107,عااااااجل ترقبوا المفاجاه اليمن مقبره الغزاه ,2
1108, انباا عن القبض على العقل المدبر ل هجمات_باريس اباعود حيا ,2
1109,هلا والله بالمطر عنيزه نبي تعليق_الدراسه_في_القصيم ,2
1110,الهلال يتعادل مع الفتح ههههههخهههه مدري شقول صراحه هههه,2
1111, الاهلي ما راح يستفيد من تعادل الهلال بيتعثر معه اعرفهم هالدلوخ,2
1112,اجمل مافي هذا الاسبوع شاهدنا وسنشاهد الهلال الهلال_الشباب الهلال_التعاون الهلال_نجران ثلاث مباريات للهلال في اسبوع لاتتكرر دائما ,1
1113,الله يعطيهم الضعفه اللي تخسرهم انشالله كل الشركات جربتها النت ضعيف انترنت_السعوديه_ضعيف,0
1114,ي جمهور الهلال المباره راحت بخيره وشره ندعم الفريق احسن من بعض الانتقاد الاي ماله سنع,0
1115, رجال_الحد_الجنوبي اسال الله النصر لهم ,1
1116, لو سمحت في وحده دايم ترسل تسب وتلعن وترسل لزوجي باني حقت خراب كيف اطلع اسمها في النمبر بوك مايطلع,2
1117, شر البليه مايضحك لانها اخزتهم وفضحتهم في كيف_واجهت_السعوديه_القاعده الحين يطالبون حذف_قناه_العربيه_من_الريسيفر,0
1118, الحين المباراه بين الهلال والاهلي وفاز الهلال واخذها من الاهلي بعض الهلاليين مشغولين بالنصر ليه ,2
1119, حذف_قناه_العربيه_من_الريسيفر نتائج التصويت 81 من الشعب لا يثقون بقناه العربيه ,2
1120, ما زلت اقول ان نمر النمر والحوثيين مجرد تفاصيل صغيره وان كسر الظهر الايراني يكون بدعم الثوار السوريين واسقاط نظام بشا ,0
1121, جححححححففففلللليي بدر_الحمد الهلال_هجر الهلال ,1
1122, ابي اعرف عروض الاجهزه الذكيه شلون ولالازم اروح فرع لكم,2
1123,بشرونا عن طلاب الجامعه عشان ولدي وعسا كل ما يصير خيره عطلو ولا ماعطلو تعليق_الدراسه_في_القصيم,2
1124, الهلال_التعاون الف مبروك ي شقرديه و الف شكر للجمهور اللي حضر جمهور يغرقك وين ماتروح ,1
1125, مع حترامي الهلال يحتاج مدير كره له وزنه,2
1126,طيب سكتونا ب نت مجاني ع الاقل الميزانيه_السعوديه رفع_اسعار,2
1127, تعليق_الدراسه_في_القصيم والله عندي اوف يالله لك الحمد ومع ذلك ولاني احب الخير لغيري اقول لجامعه القصيم تعلق الدراسه عشان م يتضررون الطلاب,2
1128, دونيس وشخبطته الشوط الاول الفرج وفلسفته اصبح الهلال يبحث عن التعادل لا الفوز,0
1129,يا عالم لا تلفقون كل شيا بالحكم والله بعض لاعبين الهلال مبزره مايعرفون قيمه الشعار حسبي الله عليهم,0
1130, اليمن عدن مساعد يكشف عن قوه ضخمه تستعد لضبط الامن في عدن ,2
1131, زحمه وطوابير نساا ولايوجد موظف ,0
1132, áÞáæÈ ÇáããÊáÆ À ÈÇáÍÈ áÇíÇÊí íæãÇ æÊÌÝ ÚäåÇ ÇáãÍÈ À ÊÙá ßãÇ åí ÍÊì æÇä ÊÛíÑ ÇáÒãä ÇáåáÇá_ÇáÔÈÇÈ,1
1133, الهلال_الفتح الهلال يعادل والمرداسي يتقدم المرداسي يدوس على نزاهه الكره السعوديه دربك خضر ياعمر المهنا,0
1134,بنظام رسوم_الاراضي_البيضاا وعدم وجود اسواق استثماريه اخرى ستقود السوق_العقاري الى مرحله من الارتفاعات الجديده,2
1135, السماح_بالسينما_في_السعوديه خذلك شبكه 4G واجلس في بيتك وتفرج على راحتك احسلك بالاختلاط بكل من هب ودب انا ضد ,0
1136, اخبار سنجار محرره من تنظيم داعش وتواجه الانقسام الاجتماعي والسياسي ,2
1137, السماح_بالسينما_في_السعوديه ان تم ذلك وروقبت بشكل حازم جميع الافلام اللتي تعرض فاعتقد بان مستوى الجريمه سيقل وا ,2
1138, التون قال شراحيلي صف مع السديري الهلال النصر,2
1139, توقع مباره اليوم الهلال_الشباب,2
1140, حرام عزوز وسالم يلعبوون اساسي وناصر بدكه راح ينكبونا بالمباراه اذا الهدف الاول هديه من عزوز الهلال_الاهلي,0
1141, من المتصدر الان الهلال_الاهلي,2
1142, اليمن مباشر يوهانس فان الصراع في اليمن زاد من تفاقم الوضع الانساني بسبب الاست صنعاا عدن ,0
1143, برشلونه_روما مبروووووك للكتلان السداسيه مستوى اكثر من رائع روح جمال ياعمممممري كل الاشياا اجتمعت في افضل نادي فالعالم القادم اجمل يارب ,1
1144, برشلونه_روما ما يفعله ميسي نيمار سواريز وباقي الكتيبه الكتالونيه هي كره القدم الحقيقيه 6 وللمتعه بقيه,0
1145, شكلهم ايرانين خخخخ داعش ايرانيه بايدي وهابيه,0
1146,الهلال حصد الاخضر وحقق البطولات,1
1147, السومه راجع يزيد المواجع بعدستي بعد الفوز على الرائد 1 3 الاهلي_الرايد ا هلي ,1
1148, برشلونه_روما مبرووووك للبرشا مباارهه ممتعه ,1
1149, رفع_اسعار_البنزين_والكهرباا وطننا قدم لنا الكثير الكثير فلن نبخل عليه بالقليل اللهم ادم علينا نعمه الامن والامان وحفظ وطننا الحبيب,1
1150, الرقم الصعب جمهور الزعيم نجوم الهلال بانتظار حضوركم وتواجدكم مساا اليوم لتحقيق النقاط الثلاث كونوا في الموعد نن ,1
1151, رفع_اسعار_البنزين_والكهرباا الحمد لله رب العالمين ما دام الله تفضل علينا بالامن والامان ولا يهمنا ارتفعت الاسعار ا ,1
1152, الحوثي لو قاتل مليون يوم سيجد من يقاتله ليس له الا حل العقل العربي وليس العقل الفارسي,0
1153, رفع_اسعار_البنزين_والكهرباا والله ياخوان مايحس بقيمه الامن ولامان الا من فقدها والله يديم عليكم نعمه الامن والامان ,1
1154, الهلال_هجر النصر_الاتحاد جحفلي اهدافه 2 هزازي اهدافه 2 المشكله الاول ماتجاوز عقده مليون الثاني 50 مليون لو ال 50 ف ,2
1155, الهلال_هجر سعدت لياليكم يالشقرديه مبروك لمن تربع على عرش الصداره ,1
1156, عيونها يم الهلال وانا عيوني يمها من حسابي السناب الهلال_الاهلي ,1
1157, الميزانيه_السعوديه يقول عليه الصلاه والسلام من اصبح امنا في سربه معافى في بدنه عنده قوت يومه فكانما حيزت له الدنيا بحذافيرها ,1
1158,بريده اجازه عندهم بكره وحنا لا لا بوه لا بو الوزير ذا تعليق_الدراسه_في_القصيم تعليق_الدراسه_في_المدينه_المنوره,2
1159, كلامك مضحك جدا داعش هي امتداد للقاعده المدعومه امريكيا واسرائيليا وسعوديا وتركيا وقطريا واماراتيا خلقت لتدمير العراق وسوريا,0
1160, سيلعب الهلال بالطقم البرتقالي امام الشباب في المباراه القادمه كم تمنيت الشلهوب يكون حاضر معهم لكن الحمد على كل حال الهلال_ ,1
1161, يا شباب ترى الهلال اليوم فاز على الاهلي بكوره الطائره 3 1,2
1162, الف مبروك يا زعماا الاجمل في المباراه هو الجمهور في الملعب المشروخ والحمدالله طلعوا سالمين الهلال_التعاون ,1
1163, مساا الخير هل صحيح تصفح تويتر مجاني لعملاا stc,2
1164, عاجل القوات المسلحه السعوديه تقتل عشره عناصر حوثيه عند محاولتهم اقتحام جبل الدود بقطاع الحرث اعاده_الامل عاصفه_ا ,0
1165, بوابه اليمن الاخباريه السعوديه حرس الحدود يحذر كافه المواطنين و المقيمين عدم الاقتراب من الحدود التفاصيل ,2
1166, الفريدي قالها دعوه مظلوم وراا حرمان الهلال من الاسيويه فكم دعوه وصلت للسماا من جماهير انديه ظلمت بسبب محاباه الحكام للهلا ,0
1167, الهلال_الفتح رئيس الهلال لابدان ياتي لتويتريقابل الجمهور تعبنا من تخبيص المدرب ومجامله العاله الميدا والفرج اللي يشعرانه اكبر من الهلال,0
1168, اخيرا انصف التحكيم السومه بضربه جزاا بعد سلسله من الاخطاا المرتكبه ضده من بدايه الدوري الاهلي_الرايد ,0
1169,شتيجن يخرجهااا برشلونه_روما,2
1170, تعليق_الدراسه_في_القصيم م يعلقون الدوام للقطاعات العسكريه ,2
1171, رئيس وزراا فرنسا يحذر من اعتدااات باسلحه كيميائيه او بيولوجيه العرب باريس تفجيرات_باريس هجمات_باريس ,2
1172, اليمن الفجر_الجديد مقتل واصابه عشرات الجنود في هجوم وتفجير سياره مفخخه في شبام حضرموت عاجل مباشر,2
1173,بدل ما تنكتون وسخافه ورا ما احد فكر بالمساكين حراس المدارس اللي ارتفعت عليهم العيشه ورواتبهم ما تسد حاجاتهم رفع_اسعار_البنزين_والكهرباا,0
1174, الهلال_الشباب العب ياهلال و مكانك القمه سببت لبعض العرب فى القلب عله ,1
1175, الاهلي_الرايد اهداف مباراه الاهلى والرائد 3 1 دورى عبد اللطيف جميل 2016 2015 عبر ,2
1176, شتيغن يامجنوون يصد بلنتي كبيير برشلونه_روما,1
1177, اوامر_ملكيه ملاحظه اذا الوزير كشخص محترم بس الاداا مو زين يقولون بناا علي طلبه غير كذا اعفاا,1
1178, يا ناس برشلونه هذا شي خورافي يغرد خارج السرب يا عالم الي يبي كوره حقيقيه و الي يبي يعرف معنى الكوره و الي يبي يستمتع يشوفه ,1
1179, يستحق سالم_الدوسري ايقاف مباراتين وغرامه عشره الاف ريال وفق م 2 47 لركله اللاعب اسلام سراج الهلال الاهلي الهلال_الاه ,1
1180, مدرااها العرب يعاملون الشباب السعودي بعنصريه ويستغلون حاجتهم للعمل ,2
1181, شارلي ايبدو تعلن موقفها من هجمات_باريس في 18 نوفمبر باريس ,2
1182, عاجل عسير القوه الصاروخيه للجيش واللجان الشعبيه تستهدف منفذ الخضراا بعدد من الصواريخ اليمن السعوديه,2
1183,عيوب النت عندنا يقطع غالي عروض وهميه خدمه عملاا مايردون ان ردوا ما يدرون انترنت_السعوديه_ضعيف,0
1184,ترون جده فيها مطر هبولنا اجازه تعليق_الدراسه_في_القصيم,2
1185, تعليق_الدراسه_في_القصيم ماحلل التعليق الا حنا من فتح البيك وامورنا تمام هانت ويصير عندنا بحر ,2
1186, الهلال_الاهلي مساا الزعامه والتباهي ولون الموج مساا الزعيم اللي على الفوز عودنا,1
1187, ي شي م يشبهك شي ي نصرر يديم الافراح ونطوي الي راحح النصر_الاتحاد,1
1188,شتيجن يااااا بطل صد بلنتي روما برشلونه_روما,1
1189, قايلكم اهتمامهم في النصر غير طبيعي ,0
1190, اللهم انصر عبادك المرابطين و المجاهدين في سبيلك على عدوك و عدوهم و احفظهم بحفظك و ايدهم بجنود من عندك رجال_الحد_الج ,1
1191, اينما يحل برشلونه يكون الاستحواذ له وبفارق كبير حتى بملعب الخصوم هيبه ومتعه برشلونه_روما ,1
1192, هذا الفريق الاصفر الوحيد اللي ينخاف منه صدق الف مبروك يازعماا الهلال_التعاون,1
1193, الهلال_الاهلي هم وقفو الهداف لكن ماوقفو الاهداف معلق من الامارات فاهم الطبخه صح سيتم طرد فارس عوض بطريقه فنيه تذكرو كلامي,2
1194, السماح_بالسينما_في_السعوديه اولا حلو مشكله البطاله الي ممكن تؤدي الى عواقب وخيمه,2
1195, فيديو نمر النمر خليه السرطان الصفويه ايران التي اقتلعها الامن السعودي اعدام_نمر_النمر نمر_ا ,0
1196,الهلال تعادل وانظلم الحمدلله فلتحيا كره القدم,1
1197,اذااردت ان تعرف خونهالاوطان فسوف تجده هنايرفع شعار الكذب والتدليس على من فضح شيئامن الصحافهالليبراليه الدنيئه قاسم_يهاجم_الملك_عبدالله,0
1198, تنبيه متقدم لمنطقه المدينه_المنوره توقعات بهطول امطار من ساعات صباح الغد الى منتصف الليل تعليق_الدراسه ,2
1199, تعليق_الدراسه_في_القصيم اللهم لك الحمد اجازه ويكند امطار يازين القصيم بس ,1
1200, شد الظهر فيني واشد الظهر فيك خل العواذل تحترق في لقانا الهلال_الاهلي ,2
1201, السماح_بالسينما_في_السعوديه ثقوا تماما ان الملك سلمان لن يسمح ولن يرضى بهذه الاشياا القذره ان تشيع في البلاد ,0
1202,حظهمم كل اسبووع اجازه واحنا طيب تعليق_الدراسه_في_القصيم,0
1203, السماح_بالسينما_في_السعوديه كل الي معرضين ذكور خلاص حطو سنماا فقط للنساا انا مع بس متي يفتحونه,0
1204, مبروك لجماهير الزعيم الملكي الف مبروك ويبقى المجد مابقي الهلال الحمدلله على نعمه الهلال 57 بطوله ,1
1205, احتفاليه_UFM_بالهلال ينضم الينا الان حارس نادي الهلال خالد شراحيلي ,2
1206,راحت علي نومه ولا شفتها برشلونه_روما,0
1207,والله لو كان الزوري في نادي غير الهلال كان طالبنا فيه ونتمناه الزوري ليس مجرد هكر,2
1208, يستاهلون الهلال بطلا لكاس ولي العهد المفدى الهلال_الاهلي,1
1209, سكان البدع يشتكون من سوا خدمه اتصالاتstc البدع مقناا العصيله قيال الاتصالات_السعوديه ,0
1210, رفع_اسعار_البنزين_والكهرباا الله يحفظ لنا بلادنا وامننا كل شي يهون في سبيل الامن والامان والاستقرار,1
1211,ياحظكم بالمطر ولا الدراسه معلقتها انا مااحتاج حد يعلقها ومظبطه لي اوف ومرتاحه تعليق_الدراسه_في_القصيم,2
1212, اوامر_ملكيه ازمه فكر مع الاوامر اليوم ولا ننتظر الاوامر الجايه ,2
1213, الهلال_التعاون لعيون الهلال استمتعو بهالقحبه ديوث متحرر محارم ,0
1214, الهلال_الفتح الهلال جيد بتحويل الخساره الى التعادل فقط ,1
1215, الحمدلله تعثر الهلال يالله الاهلي هات الصداره,1
1216, تعليق_الدراسه_في_القصيم هذااا ظلم حرااام عليهم ,0
1217, اي نادي يلعب في ارضه ضد الهلال ولا يطلب حكم اجنبي فهو شريك في المؤامره القذره والشواهد شافها الجميع الهلال_الاهلي,0
1218,هو الهلال حبيبي وهل للهلال بديل وهل للهلال مثيل هو الهلال حبيبي ,1
1219, عاجل المرور_السعودي يرجو من سكان منطقه القصيم اخذ الحيطه والحذر لتوقع هطول الامطار ابتداا من الغد بريده_بدون_تصري ,2
1220, ومضى النمر الشهيد من حمل هموم امته وتطلعاتها للعداله والحريه والمساواه مضى اليوم شهيداالى الله سبحانه عظم اللهاجوركم ,1
1221,هدف الهلال قريب ,2
1222, فيصل درويش الهلال_هجر دوري_عبداللطيف_جميل الهلال_الملكي 2 ,2
1223,كلام واقعي عن تجربه وش دخل الملك عبدالله في الموضوع الي متي هذه الوصايه حتي في كتابه ما يؤمن به الشخص قاسم_يهاجم_الملك_عبدالله,2
1224, كذا الاهداف والا فلا النصر_الاتحاد ,2
1225, صور ملعب الاهلي والاتحاد قديمه ودليلا رعايه الاهلي stc وملعب الاتحاد كمان صوره قديمه ,2
1226, الكذب عنوانهم و لا يخجلون ابدا ان لم تستحي فافعل ما شئت الهلال_التعاون ,0
1227, رفع_اسعار_البنزين_والكهرباا نفسي اشوف الشوارع كلها عربات تجرها خيول بيضاا زي سندريلا بنرتاح من الحوادث وراح يكون منظرها حلو ,1
1228, حذف_قناه_العربيه_من_الريسيفر اف اف لهالدرجه المنافقين الي بقلبهم عواطف للقاعده وداعش زعلانين من القناه بسبب كيف حاربت السعوديه القاعده,0
1229, الميزانيه_السعوديه في الاعلام العالمي عجز الميزانيه السعوديه لعام 2015 بلغ 98 مليار دولار الاكبر في تاريخها ,2
1230, الهلال_الاهلي وفد النصر يحتفل بفوز الراقي على المحلي ,1
1231, ضربه الجزاا يخجل يحتسبها مدبلج كابتن ماجد اهااااااا اسف نسيت التحكيم مع الزعيم عقول مؤجره الاهلي_الرائد,0
1232, الخارجيه السويديه اسرائيل تقف بشكل غير مباشر وراا هجمات_باريس السويد ,2
1233, المحاضره اللي كنت بروح عشانها بكرا انلغت وخلوا التعليق لكم تعليق_الدراسه_في_الرياض ,2
1234, السماح_بالسينما_في_السعوديه ودماا جنودنا تراق فداا عن ديننا وطننا ونحن نعبث بهذه التضحيات ,1
1235,11 لاعب وبمساعده جمهورهم دوري_عبداللطيف_جميل الهلال_الاهلي ,2
1236, الهلال_هجر هنا قمه الدعم الاخوي قبل الكروي من يااسررر فقط تجده فاله لال شكرا ياسسرررر دوما راائع,1
1237,كفووو الهلال_هجر,1
1238, برشلونه_روما 6 1 من الحماقه ان تقف امام الكتالوني,0
1239,هزيمه الاتحاد اخطاا تكتيكيه و مدرب ينقصه الكثير من الخبره النصر_الاتحاد,0
1240, لعنه الله على ابن المتعه النجس الخائن عميل المجوس نمر باقر النمر نسال العلي العظيم ان يحرقه في قبره,0
1241,الكالتشيو يعيش حاله ضعف مخييييفه روما ينافس على الدوري وبرشلونه اظهر مستواه الحقيقي والله زمان ي ايطاليا برشلونه_روما روما الكالتشيو,0
1242, الانترنت ضعيف وبطيا جدا لابد من تقويه ولا سحبنا على الشركه لازم حل ولا راح تخسرون يا sts انترنت_السعوديه_ضعيف,0
1243, مقوله للتاريخ لا اخشى الهلال فقط ولكن اخشى ممن يدعم الهلال في الظلام عبدالرحمن بن سعود الهلال_التعاون ,0
1244,المقال عموما جيد وللقاسم مقالات في مدح عهد المغفور له باذن الملك عبدالله ثم من منا معصوم اتمنى تقديم حسن الظن قاسم_يهاجم_الملك_عبدالله,1
1245, هذه اجدى من رفع الكهرباا والماا الميزانيه_السعوديه,0
1246,قبل ان تثار المساله اين الاثبات انها سعوديه عنزيه او ربما متدينه حتى لماذا ليست فقط اداه ايرانيه للتمتع لماذا_يا_خوله_العنزي,0
1247,طيب ايش نسوي بكم ماله داعي يوصل للترند تعليق_الدراسه_في_القصيم,2
1248, النصر_الاتحاد الفريدي جاب الفرايد النصر ,2
1249,تعليم جازان في سبات عميق الحد_الجنوبي تعليق_الدراسه الخوبه الحرث صامطه العارضه الطوال ,2
1250,شارلي ابدو تنشر رسما جديدا ردا على هجمات_باريس فرنسا ,2
1251, هذا غايه مطلب البعض السماح_بالسينما_في_السعوديه ماذا قدمت السينما للشعوب مزيد من الالهاا مايقدم في القنوات والنت ,0
1252, الهلال شكرا لنجوم الزعيم لعنه الله عليك يالمرداسي ودونيس ماهو مطول,0
1253, كلمه_لشركات_الاتصالات عايزين تكسبوا فلوس اكتر رخصوا الاسعار اكتر و اكتر و الاستخدام هيزيد لوحده الطمع بتاعكم هو اللي مخسركم كتير صدقوني,0
1254,خالد شراحيلي سبب الروح الذهب اذا دخلنا و شفنا الذهب خلاص معد نقدر نشوف الهلال,1
1255, بمعنى انه لايمكنك اشراك ظهيرين في نفس المركز او محورين ب ستايل هجومي او دفاعي وهذا سبب معاناه الاهلي اليوم الاهلي_الرائد,0
1256,النمر الشهيد بيد يهود خيبر الشيخ_النمر,2
1257,نمر النمر amp خليه السرطان الصفويه التي اقتلعها الامن السعودي جريمه_اعدام_الشيخ_النمn,0
1258, كيفف راحت الصدارهه من عندنا الهلال الاهلي_الرايد ,0
1259,هاردلك للرياض تعليق_الدراسه_في_الرياض تعليق_الدراسه_في_القصيم,2
1260, رفع_اسعار_البنزين_والكهرباا والمواطن المسكين يلاقيها من وين والامن وين الميزانيه_السعوديه في الرخااماشفناشي وبعد عجز_326مليا ,0
1261, لو تم تحصيل الزكاه بشكل صحيح وايقاف الربا لاستطعنا معالجهالعجز في الميزانيه_السعوديه فالحزم في تطبيق الشريعه هو الحل لمشكل ,2
1262, افتحو له الباب يستاهلو برشلونه_روما,2
1263,ستسهم صالات عرض السينما في تحويل منكر مشاهده الافلام الهابطه من منكر فردي الى منكر جماعي السماح_بالسينما_في_السعوديه,0
1264,ستغفرالله هذاالي ناقص حسبي الله ونعم الوكيل على اعداا الاسلام يبون ا ختلاط ابئ وسيله الله يصلط عليهم من يرحمهم السماح_بالسينما_في_السعوديه,0
1265, النمر شراره الثوره التي سوف تعصف بال سعود,2
1266, لا يصيبك احباط دين الله منصور ونحن في افضل مراحلنا هم الطرف الاضعف والاذل والسينما ليست طامه كبرى وسننكرها السماح_بالسينما ,0
1267,ي خي ي حظظظظ القصمااان ماشااالله اجازات اجازات تعليق_الدراسه_في_القصيم,2
1268, السماح_بالسينما_في_السعوديه لو سمحوا للمراه بالقياده ابرك م السينما وسؤال السينما مختلطه وللا رح تطبقوا فيها المعايير الاسلاميه ,0
1269, تعليق_الدراسه_في_القصيم الحمدلله ع نعمه ان ما عندك دوام ولا فرقت معه الاجازه ,1
1270, عمر السومه مشكور ما قصرت تلعب بلا وسط و صانع لعب الهلال_الاهلي ,1
1271, قاسم_يهاجم_الملك_عبدالله مقال صريح وبدون اي لف ودوران حكا واقع ولم يؤالف قصص والدليل تغير رئيس الديوان الملكي بعد تولي الملك سلمان الحكم,2
1272, رجال_الحد_الجنوبي يارب لنا جنود مرابطين على الثغور ايدهم بنصرك وسدد رميهم وثبت اقدامهم واربط على قلوبهم وردهم الينا سال ,1
1273,ترافقت قبل شهر في سفر انا واحد المسنين من الباديه فقال لي السيل ماجاا لبريده من 1403ه واظنه الان سيؤرخ للسيل ب ليله12صفر1437 بريده_تغرق,2
1274, اوامر_ملكيه انا اتوقع ان العساف من ال سعود بس مخبين عنا مو معقول ثابت بالكرسي مايتزحزح يخرب بيته بالمنصب قرن ,0
1275, الا يعلم هذا المتسلق ان كل ملك من ملوك البلاد يبني على ما بناه من سبقه من الملوك قاسم_يهاجم_الملك_عبدالله,1
1276,المشكله مانقدر نقاطعهم لا صارت حاجتك عند الكلب قله ياسيدي انترنت_السعوديه_ضعيف,0
1277, استخدم شبكه اوربت بسرعه وجوده عاليه لجميع الظروف واترك عنك انترنت ينفصل مع انقطاع الكهرباا انترنت_السعوديه_ضعيف,0
1278, تعليق_الدراسه_في_القصيم طبيعي التعليق علينا ديم من الساعه 8 او 9 الى الفجر بيستمر الله يحفظ الجميع انتبهوا لا تطلعون,2
1279, ياخوي رد فيه نت مفتوح والا لا,2
1280, بالاسماا قائمه المتهمين في هجمات باريس ,2
1281, لكن مايتملعن الا اذا كان الهلال فايز,1
1282,ابو فهد نحن ابنائك نحن عاطلون التفت الينا نريد الغاا اختبار كفايات اوامر_ملكيه,2
1283, واذا لصقوا بجبهتي حرمان بينفعني التعليق تعليق_الدراسه_في_القصيم,2
1284, ما رايك انت و الحكم يحسب فاول ات غير صحيحه و هدف تسلل و يعود الهلال و يضيع الكثير من الفرص ,0
1285,رجعت والرجوع احمدي لاحلى غالي و سعدي النصر_الاتحاد النصر ,1
1286,الف مببروك ل جماهير النصر اتوقعع المباراه هذي من افضل المباريات للنصر هذا الموسم عوده_الفريدي النصر_الاتحاد ,1
1287,صوره تحس فيها كل الم الدنيا وحزنها على فراق رجال_الحد_الجنوبي لاتنسوهم من صالح دعائكم ,1
1288,اللهم انصر جنودنا و كن معهم و سدد رميهم رجال_الحد_الجنوبي ,1
1289, حالات استنفار في قصور اعضاا شرف الهلال لانقاذ الهلال ,2
1290, برشلونه_روما الفياجرا اللي واخدينها لماتش مدريد لسه شغاله ,2
1291, الاهلي_الرائد شد الظهرفيني واشد الظهرفيك والسوما هاتريك ولااروع ,1
1292, انت الي بالمركز السادس لا تزعجنا الهلال_التعاون النصر_يفاوض_جحفلي ,2
1293, برشلونه_روما فيه سابع اتوقع لنيمار,2
